Company,Industry,Month,Job_Postings,Avg_Salary_USD,Top_Role
Google,Big Tech,Oct-25,1420,185000,AI Research Scientist
Google,Big Tech,Nov-25,1550,188000,ML Engineer
Google,Big Tech,Dec-25,1480,190000,GenAI Developer
Google,Big Tech,Jan-26,1650,192000,AI Agent Architect
Google,Big Tech,Feb-26,1720,195000,MLOps Engineer
Microsoft,Big Tech,Oct-25,1200,175000,Applied AI Engineer
Microsoft,Big Tech,Nov-25,1350,178000,Data Scientist
Microsoft,Big Tech,Dec-25,1410,182000,Azure AI Specialist
Microsoft,Big Tech,Jan-26,1580,185000,AI Product Manager
Microsoft,Big Tech,Feb-26,1690,188000,Prompt Engineer
Meta,Social Media,Oct-25,980,195000,PyTorch Developer
Meta,Social Media,Nov-25,1050,197000,Computer Vision Lead
Meta,Social Media,Dec-25,1120,200000,AI Ethics Officer
Meta,Social Media,Jan-26,1250,205000,LLM Researcher
Meta,Social Media,Feb-26,1340,210000,Spatial Intelligence Eng
OpenAI,AI Research,Oct-25,310,210000,Technical Staff
OpenAI,AI Research,Nov-25,350,215000,Model Alignment Eng
OpenAI,AI Research,Dec-25,380,220000,Scaling Laws Researcher
OpenAI,AI Research,Jan-26,450,230000,Robotics Engineer
OpenAI,AI Research,Feb-26,520,245000,Agentic Systems Lead
Amazon,E-commerce,Oct-25,1850,165000,AWS AI Consultant
Amazon,E-commerce,Nov-25,1920,168000,Robotics Specialist
Amazon,E-commerce,Dec-25,2100,172000,Supply Chain AI Lead
Amazon,E-commerce,Jan-26,2300,175000,Data Engineer
Amazon,E-commerce,Feb-26,2450,180000,ML Infrastructure Eng
NVIDIA,Hardware,Oct-25,850,190000,CUDA Developer
NVIDIA,Hardware,Nov-25,920,193000,Deep Learning Engineer
NVIDIA,Hardware,Dec-25,980,196000,Chip Design AI Eng
NVIDIA,Hardware,Jan-26,1100,205000,Omniverse Specialist
NVIDIA,Hardware,Feb-26,1250,215000,AI Compiler Engineer
TCS,IT Services,Oct-25,4500,65000,AI Transformation Consultant
TCS,IT Services,Nov-25,4800,68000,Data Analyst
